country,topic_l2,year,resolution_count,recorded_vote_count,yes_count,yes_pct,abstain_count,abstain_pct,no_count,no_pct,not_recorded_count,not_recorded_pct,country_missing_count,unknown_vote_count
USA,LAW OF THE SEA,2024,1,1,1,100.00,0,0.00,0,0.00,0,0.00,0,0
USA,LAW OF THE SEA,2025,2,2,0,0.00,2,100.00,0,0.00,0,0.00,0,0
USA,LAW OF WAR,2024,0,0,0,,0,,0,,0,,0,0
USA,LAW OF WAR,2025,1,1,0,0.00,0,0.00,1,100.00,0,0.00,0,0
USA,"LEISURE, RECREATION AND SPORTS",2024,0,0,0,,0,,0,,0,,0,0
USA,"LEISURE, RECREATION AND SPORTS",2025,1,1,0,0.00,0,0.00,1,100.00,0,0.00,0,0
USA,MAINTENANCE OF PEACE AND SECURITY,2024,29,28,9,32.14,3,10.71,16,57.14,1,3.45,0,0
USA,MAINTENANCE OF PEACE AND SECURITY,2025,47,47,5,10.64,4,8.51,38,80.85,0,0.00,0,0
USA,MARINE RESOURCES,2024,3,3,2,66.67,0,0.00,1,33.33,0,0.00,0,0
USA,MARINE RESOURCES,2025,7,7,0,0.00,2,28.57,5,71.43,0,0.00,0,0
USA,MINERAL RESOURCES,2024,1,1,1,100.00,0,0.00,0,0.00,0,0.00,0,0
USA,MINERAL RESOURCES,2025,1,1,0,0.00,0,0.00,1,100.00,0,0.00,0,0
USA,MONETARY ISSUES,2024,0,0,0,,0,,0,,0,,0,0
USA,MONETARY ISSUES,2025,1,1,0,0.00,0,0.00,1,100.00,0,0.00,0,0
USA,NUCLEAR SCIENCE,2024,4,3,2,66.67,0,0.00,1,33.33,1,25.00,0,0
USA,NUCLEAR SCIENCE,2025,3,3,0,0.00,0,0.00,3,100.00,0,0.00,0,0
USA,PERSONS WITH DISABILITIES,2024,0,0,0,,0,,0,,0,,0,0
USA,PERSONS WITH DISABILITIES,2025,1,1,0,0.00,0,0.00,1,100.00,0,0.00,0,0
USA,PHILOSOPHY AND RELIGION,2024,0,0,0,,0,,0,,0,,0,0
USA,PHILOSOPHY AND RELIGION,2025,3,3,0,0.00,0,0.00,3,100.00,0,0.00,0,0
USA,"POLITICAL CONDITIONS, INSTITUTIONS, MOVEMENTS",2024,28,28,9,32.14,1,3.57,18,64.29,0,0.00,0,0
USA,"POLITICAL CONDITIONS, INSTITUTIONS, MOVEMENTS",2025,53,53,5,9.43,1,1.89,47,88.68,0,0.00,0,0
USA,POLITICAL EVENTS AND ISSUES,2024,14,14,6,42.86,1,7.14,7,50.00,0,0.00,0,0
USA,POLITICAL EVENTS AND ISSUES,2025,21,21,3,14.29,0,0.00,18,85.71,0,0.00,0,0
USA,POLLUTION,2024,3,3,1,33.33,1,33.33,1,33.33,0,0.00,0,0
USA,POLLUTION,2025,3,3,0,0.00,1,33.33,2,66.67,0,0.00,0,0
