iso3,p3_2025,world_avg_2025,diff_from_world_avg,broad_region,broad_region_avg_2025,diff_from_broad_region_avg,region,majority_alignment_rate_2025,vote_mix_distance_l1_2025,total_2025
LBR,99.35,92.84,6.52,Sub-Saharan Africa,96.68,2.67,Western Africa,98.73,21.39,157
ZMB,99.37,92.84,6.53,Sub-Saharan Africa,96.68,2.69,Eastern Africa,98.75,21.44,160
GAB,99.42,92.84,6.58,Sub-Saharan Africa,96.68,2.74,Middle Africa,98.85,21.64,174
BLZ,99.43,92.84,6.6,Latin America & Caribbean,95.39,4.04,Central America,98.88,21.69,178
TLS,99.46,92.84,6.63,South-eastern Asia,98.19,1.28,South-eastern Asia,98.94,21.82,189
CHL,99.47,92.84,6.64,Latin America & Caribbean,95.39,4.09,South America,98.96,21.85,192
GTM,99.47,92.84,6.64,Latin America & Caribbean,95.39,4.09,Central America,98.96,21.85,192
AZE,99.68,92.84,6.84,Western Asia,90.18,9.5,Western Asia,99.37,22.67,158
SYC,99.7,92.84,6.87,Sub-Saharan Africa,96.68,3.02,Eastern Africa,99.42,22.77,171
JAM,99.73,92.84,6.9,Latin America & Caribbean,95.39,4.34,Caribbean,99.47,22.87,188
SUR,99.74,92.84,6.9,Latin America & Caribbean,95.39,4.35,South America,99.48,22.89,191
BRB,100.0,92.84,7.16,Latin America & Caribbean,95.39,4.61,Caribbean,100.0,23.94,145
CPV,100.0,92.84,7.16,Sub-Saharan Africa,96.68,3.32,Western Africa,100.0,23.94,184
URY,100.0,92.84,7.16,Latin America & Caribbean,95.39,4.61,South America,100.0,23.94,190
