iso3,p3_2025,p3_rank_2025,p1_2025,p2_2025,yes_2025,no_2025,abstain_2025,total_2025,yes_pct_2025,no_pct_2025,abstain_pct_2025,majority_alignment_rate_2025,vote_mix_distance_l1_2025,diff_from_world_avg_2025,region,broad_region
MRT,97.52,68,79.26,99.0,178,1,8,187,95.2,0.5,4.3,95.19,14.31,4.69,Western Africa,Sub-Saharan Africa
KGZ,97.47,69,76.94,99.66,175,0,9,184,95.1,0.0,4.9,95.11,14.15,4.64,Central Asia,Central Asia
GNQ,97.44,70,79.6,98.06,153,3,5,161,95.0,1.9,3.1,95.03,14.0,4.61,Middle Africa,Sub-Saharan Africa
KEN,97.4,71,82.82,98.61,170,0,9,179,95.0,0.0,5.0,94.97,13.88,4.57,Eastern Africa,Sub-Saharan Africa
SLB,97.34,72,83.21,94.3,166,0,9,175,94.9,0.0,5.1,94.86,13.65,4.5,Melanesia,Oceania
LBN,97.31,73,82.11,98.24,182,1,9,192,94.8,0.5,4.7,94.79,13.52,4.48,Western Asia,Western Asia
ZAF,97.31,73,81.28,98.05,182,1,9,192,94.8,0.5,4.7,94.79,13.52,4.48,Southern Africa,Sub-Saharan Africa
CRI,97.3,76,89.79,96.73,181,1,9,191,94.8,0.5,4.7,94.76,13.46,4.46,Central America,Latin America & Caribbean
QAT,97.3,75,84.73,98.89,182,0,10,192,94.8,0.0,5.2,94.79,13.52,4.47,Western Asia,Western Asia
TZA,97.28,77,79.66,98.9,162,0,9,171,94.7,0.0,5.3,94.74,13.41,4.44,Eastern Africa,Sub-Saharan Africa
IRQ,97.27,78,74.2,98.88,179,2,8,189,94.7,1.1,4.2,94.71,13.35,4.44,Western Asia,Western Asia
UZB,97.27,79,79.77,99.26,161,1,8,170,94.7,0.6,4.7,94.71,13.35,4.43,Central Asia,Central Asia
KAZ,97.23,80,78.8,99.33,177,0,10,187,94.7,0.0,5.3,94.65,13.24,4.4,Central Asia,Central Asia
LAO,97.23,80,71.98,97.66,177,0,10,187,94.7,0.0,5.3,94.65,13.24,4.4,South-eastern Asia,South-eastern Asia
RWA,97.23,82,69.04,97.77,159,0,9,168,94.6,0.0,5.4,94.64,13.22,4.39,Eastern Africa,Sub-Saharan Africa
MLI,97.09,83,60.09,96.79,170,8,2,180,94.4,4.4,1.1,94.44,12.82,4.25,Western Africa,Sub-Saharan Africa
