iso3,topic,country_total_votes_2024,country_total_votes_2025,world_total_votes_2025,country_yes_pct_2024,country_yes_pct_2025,country_yes_pct_change,world_yes_pct_2024,world_yes_pct_2025,world_yes_pct_change,gap_vs_world_yes_2024,gap_vs_world_yes_2025,abs_gap_change
AUS,ECONOMIC CONDITIONS,2,11,1978,50.0,81.8,31.8,85.1,91.2,6.0,-35.1,-9.3,-25.8
AUS,MAINTENANCE OF PEACE AND SECURITY,31,47,8076,51.6,74.5,22.9,77.3,81.3,4.1,-25.7,-6.9,-18.8
AUS,WELFARE AND SOCIAL SERVICES,2,14,2466,100.0,92.9,-7.1,85.1,95.7,10.6,14.9,-2.8,-12.1
AUS,INTERNATIONAL TRADE,3,6,1087,33.3,50.0,16.7,80.9,85.5,4.6,-47.5,-35.5,-12.1
AUS,SOCIAL DEVELOPMENT,8,24,4224,62.5,91.7,29.2,75.3,93.6,18.3,-12.8,-1.9,-10.9
AUS,HUMANITARIAN AID AND RELIEF,5,16,2745,100.0,93.8,-6.2,82.9,87.4,4.5,17.1,6.4,-10.7
AUS,INTERNATIONAL RELATIONS,31,48,8074,54.8,72.9,18.1,75.9,84.2,8.3,-21.1,-11.3,-9.8
AUS,POLITICAL AND LEGAL QUESTIONS,80,131,22664,58.8,72.5,13.8,78.5,84.4,5.9,-19.8,-11.9,-7.9
AUS,DEVELOPMENT FINANCE,2,11,2001,50.0,63.6,13.6,85.1,90.9,5.8,-35.1,-27.3,-7.8
AUS,SCIENCE AND TECHNOLOGY,8,16,2794,75.0,87.5,12.5,85.5,90.7,5.1,-10.5,-3.2,-7.4
AUS,RESOURCES (GENERAL),1,9,1613,100.0,100.0,0.0,90.0,96.6,6.6,10.0,3.4,-6.6
AUS,NATURAL RESOURCES AND THE ENVIRONMENT,7,30,5226,100.0,100.0,0.0,90.2,96.7,6.5,9.8,3.3,-6.5
AUS,SOCIAL CONDITIONS AND EQUITY,20,35,6127,60.0,85.7,25.7,71.1,91.6,20.4,-11.1,-5.9,-5.3
AUS,DISARMAMENT AND MILITARY QUESTIONS,41,42,7411,53.7,61.9,8.2,80.6,83.8,3.2,-26.9,-21.9,-5.0
AUS,GENERAL INTERNATIONAL TRADE AND TRADE POLICY,3,5,904,33.3,40.0,6.7,80.9,82.9,2.0,-47.5,-42.9,-4.7
AUS,POLITICAL EVENTS AND ISSUES,16,21,3546,56.2,76.2,19.9,66.1,81.8,15.7,-9.8,-5.6,-4.3
AUS,WOMEN'S ADVANCEMENT,1,4,672,100.0,100.0,0.0,94.1,97.5,3.4,5.9,2.5,-3.4
AUS,INTERNATIONAL LAW,11,44,7745,63.6,72.7,9.1,79.0,85.8,6.8,-15.4,-13.0,-2.3
AUS,HUMAN RIGHTS,17,19,3260,58.8,78.9,20.1,69.6,87.5,17.9,-10.7,-8.5,-2.2
AUS,MARINE RESOURCES,3,7,1216,100.0,100.0,0.0,95.6,97.4,1.7,4.4,2.6,-1.7
AUS,PROTECTION OF AND ASSISTANCE TO REFUGEES AND DISPLACED PERSONS,5,8,1390,100.0,100.0,0.0,82.9,84.5,1.6,17.1,15.5,-1.6
AUS,WILDLIFE,1,4,666,100.0,100.0,0.0,97.6,99.1,1.5,2.4,0.9,-1.5
AUS,ENVIRONMENT,3,25,4347,100.0,100.0,0.0,96.6,96.4,-0.3,3.4,3.6,0.3
AUS,GENERAL AND NATIONAL LAW,1,8,1423,100.0,100.0,0.0,95.7,94.6,-1.1,4.3,5.4,1.1
AUS,COMPUTER SCIENCE AND TECHNOLOGY,1,6,1066,100.0,100.0,0.0,95.8,91.7,-4.1,4.2,8.3,4.1
AUS,SPACE SCIENCES,3,5,887,66.7,60.0,-6.7,84.9,86.2,1.4,-18.2,-26.2,8.1
AUS,DISCRIMINATION,9,8,1410,55.6,62.5,6.9,69.5,86.1,16.6,-14.0,-23.6,9.6
AUS,POLLUTION,3,3,503,100.0,100.0,0.0,95.3,85.5,-9.8,4.7,14.5,9.8
AUS,PUBLIC FINANCE,1,4,728,100.0,25.0,-75.0,95.7,83.8,-11.9,4.3,-58.8,54.5
AUT,DEVELOPMENT AND TRANSFER OF TECHNOLOGY AND PROMOTION OF SCIENCE,1,6,1055,0.0,100.0,100.0,57.7,94.1,36.4,-57.7,5.9,-51.8
AUT,DEVELOPMENT,7,44,7917,28.6,86.4,57.8,76.3,93.7,17.4,-47.8,-7.3,-40.4
AUT,ENERGY RESOURCES,1,3,539,100.0,100.0,0.0,58.9,95.5,36.6,41.1,4.5,-36.6
AUT,ECONOMIC DEVELOPMENT AND DEVELOPMENT FINANCE,10,45,8097,40.0,84.4,44.4,79.8,93.1,13.4,-39.8,-8.7,-31.1
AUT,INTERNATIONAL TRADE,3,6,1087,33.3,66.7,33.3,80.9,85.5,4.6,-47.5,-18.8,-28.7
AUT,ECONOMIC CONDITIONS,2,11,1978,50.0,81.8,31.8,85.1,91.2,6.0,-35.1,-9.3,-25.8
AUT,GENERAL INTERNATIONAL TRADE AND TRADE POLICY,3,5,904,33.3,60.0,26.7,80.9,82.9,2.0,-47.5,-22.9,-24.7
AUT,SOCIAL DEVELOPMENT,8,24,4224,50.0,87.5,37.5,75.3,93.6,18.3,-25.3,-6.1,-19.2
AUT,DEVELOPMENT FINANCE,2,11,2001,50.0,72.7,22.7,85.1,90.9,5.8,-35.1,-18.2,-16.9
AUT,INTERNATIONAL RELATIONS,31,48,8074,61.3,83.3,22.0,75.9,84.2,8.3,-14.6,-0.9,-13.8
AUT,WELFARE AND SOCIAL SERVICES,2,14,2466,100.0,92.9,-7.1,85.1,95.7,10.6,14.9,-2.8,-12.1
AUT,SOCIAL CONDITIONS AND EQUITY,20,35,6127,50.0,80.0,30.0,71.1,91.6,20.4,-21.1,-11.6,-9.6
AUT,SCIENCE AND TECHNOLOGY,8,16,2794,75.0,87.5,12.5,85.5,90.7,5.1,-10.5,-3.2,-7.4
AUT,RESOURCES (GENERAL),1,9,1613,100.0,100.0,0.0,90.0,96.6,6.6,10.0,3.4,-6.6
AUT,NATURAL RESOURCES AND THE ENVIRONMENT,7,30,5226,100.0,100.0,0.0,90.2,96.7,6.5,9.8,3.3,-6.5
AUT,MAINTENANCE OF PEACE AND SECURITY,31,47,8076,71.0,80.9,9.9,77.3,81.3,4.1,-6.3,-0.5,-5.8
AUT,POLITICAL EVENTS AND ISSUES,16,21,3546,50.0,71.4,21.4,66.1,81.8,15.7,-16.1,-10.3,-5.7
AUT,POLITICAL AND LEGAL QUESTIONS,80,131,22664,66.2,76.3,10.1,78.5,84.4,5.9,-12.3,-8.1,-4.2
AUT,HUMAN RIGHTS,17,19,3260,47.1,68.4,21.4,69.6,87.5,17.9,-22.5,-19.1,-3.4
AUT,WOMEN'S ADVANCEMENT,1,4,672,100.0,100.0,0.0,94.1,97.5,3.4,5.9,2.5,-3.4
AUT,MARINE RESOURCES,3,7,1216,100.0,100.0,0.0,95.6,97.4,1.7,4.4,2.6,-1.7
AUT,DISCRIMINATION,9,8,1410,44.4,62.5,18.1,69.5,86.1,16.6,-25.1,-23.6,-1.5
AUT,WILDLIFE,1,4,666,100.0,100.0,0.0,97.6,99.1,1.5,2.4,0.9,-1.5
AUT,PROTECTION OF AND ASSISTANCE TO REFUGEES AND DISPLACED PERSONS,5,8,1390,80.0,87.5,7.5,82.9,84.5,1.6,-2.9,3.0,0.1
AUT,ENVIRONMENT,3,25,4347,100.0,100.0,0.0,96.6,96.4,-0.3,3.4,3.6,0.3
AUT,INTERNATIONAL LAW,11,44,7745,72.7,77.3,4.5,79.0,85.8,6.8,-6.3,-8.5,2.2
AUT,DISARMAMENT AND MILITARY QUESTIONS,41,42,7411,73.2,73.8,0.6,80.6,83.8,3.2,-7.4,-10.0,2.6
AUT,GENERAL AND NATIONAL LAW,1,8,1423,100.0,87.5,-12.5,95.7,94.6,-1.1,4.3,-7.1,2.8
AUT,HUMANITARIAN AID AND RELIEF,5,16,2745,80.0,93.8,13.8,82.9,87.4,4.5,-2.9,6.4,3.5
AUT,COMPUTER SCIENCE AND TECHNOLOGY,1,6,1066,100.0,100.0,0.0,95.8,91.7,-4.1,4.2,8.3,4.1
AUT,SPACE SCIENCES,3,5,887,66.7,60.0,-6.7,84.9,86.2,1.4,-18.2,-26.2,8.1
