iso3,p2_2025,p2_rank_2025,p1_2025,p3_2025,yes_2025,no_2025,abstain_2025,total_2025,yes_pct_2025,region,broad_region
DEU,97.7,103,68.97,87.36,148,23,21,192,77.1,Western Europe,Western Europe
NOR,97.69,104,74.91,88.64,152,18,22,192,79.2,Northern Europe,Northern Europe
PER,97.68,105,97.48,98.11,183,0,7,190,96.3,South America,Latin America & Caribbean
LAO,97.66,106,71.98,97.23,177,0,10,187,94.7,South-eastern Asia,South-eastern Asia
NGA,97.65,107,78.37,96.77,151,0,10,161,93.8,Western Africa,Sub-Saharan Africa
LBR,97.59,108,43.67,99.35,155,0,2,157,98.7,Western Africa,Sub-Saharan Africa
CPV,97.55,109,96.77,100.0,184,0,0,184,100.0,Western Africa,Sub-Saharan Africa
HTI,97.44,110,84.36,97.9,164,1,6,171,95.9,Caribbean,Latin America & Caribbean
BIH,97.38,111,69.85,88.87,152,15,24,191,79.6,Southern Europe,Southern Europe
LVA,97.38,112,71.23,86.06,144,24,24,192,75.0,Northern Europe,Northern Europe
HRV,97.37,113,67.49,87.04,147,23,22,192,76.6,Southern Europe,Southern Europe
BFA,97.36,114,91.53,97.85,163,6,1,170,95.9,Western Africa,Sub-Saharan Africa
LTU,97.35,115,68.13,85.4,142,24,26,192,74.0,Northern Europe,Northern Europe
MMR,97.34,116,98.47,99.19,185,0,3,188,98.4,South-eastern Asia,South-eastern Asia
BGR,97.29,117,68.42,84.96,140,22,29,191,73.3,Eastern Europe,Eastern Europe
TUV,97.18,118,81.05,96.71,133,1,8,142,93.7,Polynesia,Oceania
CHN,97.15,119,63.09,93.1,167,7,18,192,87.0,Eastern Asia,Eastern Asia
MWI,97.11,120,77.98,99.0,150,0,3,153,98.0,Eastern Africa,Sub-Saharan Africa
BRA,97.06,121,73.98,97.58,183,0,9,192,95.3,South America,Latin America & Caribbean
SDN,96.97,122,65.36,95.59,173,8,8,189,91.5,Northern Africa,Africa
SAU,96.96,123,75.01,94.4,170,1,19,190,89.5,Western Asia,Western Asia
MLI,96.79,124,60.09,97.09,170,8,2,180,94.4,Western Africa,Sub-Saharan Africa
CRI,96.73,125,89.79,97.3,181,1,9,191,94.8,Central America,Latin America & Caribbean
NAM,96.73,126,81.96,95.21,161,0,16,177,91.0,Southern Africa,Sub-Saharan Africa
MLT,96.65,127,69.25,91.67,162,14,16,192,84.4,Southern Europe,Southern Europe
NER,96.58,128,80.77,96.91,161,9,1,171,94.2,Western Africa,Sub-Saharan Africa
MDA,96.51,129,68.47,89.5,154,15,22,191,80.6,Eastern Europe,Eastern Europe
CIV,96.38,130,83.81,97.83,182,0,8,190,95.8,Western Africa,Sub-Saharan Africa
COD,96.37,131,75.65,96.62,130,0,9,139,93.5,Middle Africa,Sub-Saharan Africa
SMR,96.36,132,71.51,91.08,160,14,18,192,83.3,Southern Europe,Southern Europe
AND,96.34,133,71.04,90.67,157,13,20,190,82.6,Southern Europe,Southern Europe
CZE,96.31,134,64.19,84.38,139,25,28,192,72.4,Eastern Europe,Eastern Europe
SLV,96.18,135,89.63,96.84,170,0,11,181,93.9,Central America,Latin America & Caribbean
KIR,96.16,136,75.35,97.03,66,0,4,70,94.3,Micronesia,Oceania
VUT,96.12,137,84.36,99.16,179,0,3,182,98.4,Melanesia,Oceania
VCT,96.07,138,72.18,96.75,15,0,1,16,93.8,Caribbean,Latin America & Caribbean
TGO,95.89,139,69.09,94.37,170,0,20,190,89.5,Western Africa,Sub-Saharan Africa
UKR,95.87,140,67.01,83.99,135,25,28,188,71.8,Eastern Europe,Eastern Europe
ZWE,95.87,141,74.26,95.7,167,3,12,182,91.8,Eastern Africa,Sub-Saharan Africa
IRL,95.66,142,73.58,90.48,158,15,19,192,82.3,Northern Europe,Northern Europe
BDI,95.54,143,57.65,96.01,157,8,5,170,92.4,Eastern Africa,Sub-Saharan Africa
IRN,95.45,144,64.18,93.41,162,5,18,185,87.6,Southern Asia,Southern Asia
ECU,95.3,145,79.73,96.1,174,0,14,188,92.6,South America,Latin America & Caribbean
AUT,95.12,146,69.03,89.87,156,16,20,192,81.2,Western Europe,Western Europe
LIE,95.06,147,71.9,91.07,160,12,20,192,83.3,Western Europe,Western Europe
CUB,95.03,148,69.7,95.85,173,7,8,188,92.0,Caribbean,Latin America & Caribbean
ETH,94.84,149,70.39,94.31,168,0,20,188,89.4,Eastern Africa,Sub-Saharan Africa
PAK,94.84,150,66.32,92.94,165,3,22,190,86.8,Southern Asia,Southern Asia
DMA,94.72,151,60.66,95.61,44,0,4,48,91.7,Caribbean,Latin America & Caribbean
