iso3,p2_2024,yes_2024,no_2024,abstain_2024,total_2024,p2_2025,yes_2025,no_2025,abstain_2025,total_2025,p2_change,total_change,yes_pct_2024,yes_pct_2025,yes_pct_change,region,broad_region
LUX,97.47,56,20,19,95,99.35,151,21,20,192,1.88,97,58.9,78.6,19.7,Western Europe,Western Europe
POL,96.39,51,23,21,95,98.34,143,24,25,192,1.94,97,53.7,74.5,20.8,Eastern Europe,Eastern Europe
GMB,96.96,82,0,2,84,98.91,165,0,8,173,1.95,89,97.6,95.4,-2.2,Western Africa,Sub-Saharan Africa
LBY,97.3,78,2,11,91,99.32,174,1,11,186,2.02,95,85.7,93.5,7.8,Northern Africa,Africa
UGA,96.26,77,0,10,87,98.29,173,0,11,184,2.03,97,88.5,94.0,5.5,Eastern Africa,Sub-Saharan Africa
BTN,96.16,84,0,8,92,98.2,179,0,5,184,2.04,92,91.3,97.3,6.0,Southern Asia,Southern Asia
DOM,96.58,89,0,6,95,98.64,185,0,4,189,2.07,94,93.7,97.9,4.2,Caribbean,Latin America & Caribbean
BLZ,97.17,84,1,3,88,99.25,176,0,2,178,2.08,90,95.5,98.9,3.4,Central America,Latin America & Caribbean
KAZ,97.17,81,0,9,90,99.33,177,0,10,187,2.16,97,90.0,94.7,4.7,Central Asia,Central Asia
BRN,96.53,85,3,7,95,98.7,184,2,6,192,2.17,97,89.5,95.8,6.4,South-eastern Asia,South-eastern Asia
UZB,97.03,74,2,8,84,99.26,161,1,8,170,2.23,86,88.1,94.7,6.6,Central Asia,Central Asia
BEL,96.45,58,21,16,95,98.7,151,21,20,192,2.24,97,61.1,78.6,17.6,Western Europe,Western Europe
MUS,96.4,87,0,4,91,98.64,180,0,5,185,2.25,94,95.6,97.3,1.7,Eastern Africa,Sub-Saharan Africa
NGA,95.39,78,0,10,88,97.65,151,0,10,161,2.26,73,88.6,93.8,5.2,Western Africa,Sub-Saharan Africa
SLV,93.92,87,0,6,93,96.18,170,0,11,181,2.27,88,93.5,93.9,0.4,Central America,Latin America & Caribbean
SGP,95.68,88,1,6,95,98.06,185,0,7,192,2.37,97,92.6,96.4,3.7,South-eastern Asia,South-eastern Asia
HTI,95.01,74,0,7,81,97.44,164,1,6,171,2.43,90,91.4,95.9,4.5,Caribbean,Latin America & Caribbean
JAM,97.17,87,1,2,90,99.6,187,0,1,188,2.43,98,96.7,99.5,2.8,Caribbean,Latin America & Caribbean
VNM,95.54,82,1,9,92,98.02,180,1,8,189,2.49,97,89.1,95.2,6.1,South-eastern Asia,South-eastern Asia
LSO,96.38,80,0,9,89,98.94,169,0,7,176,2.56,87,89.9,96.0,6.1,Southern Africa,Sub-Saharan Africa
YEM,96.03,85,2,8,95,98.6,179,1,12,192,2.57,97,89.5,93.2,3.8,Western Asia,Western Asia
MRT,96.41,81,1,7,89,99.0,178,1,8,187,2.59,98,91.0,95.2,4.2,Western Africa,Sub-Saharan Africa
PRT,97.38,56,18,20,94,99.99,152,20,20,192,2.61,98,59.6,79.2,19.6,Southern Europe,Southern Europe
SWZ,97.28,54,1,4,59,99.99,82,0,2,84,2.7,25,91.5,97.6,6.1,Southern Africa,Sub-Saharan Africa
GNB,96.87,70,0,7,77,99.59,152,0,4,156,2.71,79,90.9,97.4,6.5,Western Africa,Sub-Saharan Africa
SYC,95.05,82,0,2,84,97.77,170,0,1,171,2.72,87,97.6,99.4,1.8,Eastern Africa,Sub-Saharan Africa
MOZ,96.25,77,0,9,86,98.98,175,0,11,186,2.74,100,89.5,94.1,4.6,Eastern Africa,Sub-Saharan Africa
GRD,95.36,68,1,2,71,98.12,98,0,3,101,2.77,30,95.8,97.0,1.3,Caribbean,Latin America & Caribbean
EST,95.53,53,24,18,95,98.35,144,23,24,191,2.82,96,55.8,75.4,19.6,Northern Europe,Northern Europe
TLS,95.52,85,0,5,90,98.34,187,0,2,189,2.82,99,94.4,98.9,4.5,South-eastern Asia,South-eastern Asia
JOR,95.71,87,1,6,94,98.55,182,1,8,191,2.83,97,92.6,95.3,2.7,Western Asia,Western Asia
AND,93.47,64,13,16,93,96.34,157,13,20,190,2.87,97,68.8,82.6,13.8,Southern Europe,Southern Europe
KEN,95.7,84,0,10,94,98.61,170,0,9,179,2.9,85,89.4,95.0,5.6,Eastern Africa,Sub-Saharan Africa
CZE,93.37,48,27,20,95,96.31,139,25,28,192,2.93,97,50.5,72.4,21.9,Eastern Europe,Eastern Europe
BGD,96.33,84,1,9,94,99.29,183,1,7,191,2.97,97,89.4,95.8,6.4,Southern Asia,Southern Asia
ETH,91.84,77,1,14,92,94.84,168,0,20,188,3.0,96,83.7,89.4,5.7,Eastern Africa,Sub-Saharan Africa
NPL,96.3,79,0,12,91,99.31,181,0,9,190,3.0,99,86.8,95.3,8.4,Southern Asia,Southern Asia
ZAF,94.94,86,1,8,95,98.05,182,1,9,192,3.1,97,90.5,94.8,4.3,Southern Africa,Sub-Saharan Africa
ALB,91.01,53,22,20,95,94.14,136,20,33,189,3.13,94,55.8,72.0,16.2,Southern Europe,Southern Europe
BWA,96.87,73,1,4,78,100.0,138,0,6,144,3.13,66,93.6,95.8,2.2,Southern Africa,Sub-Saharan Africa
LCA,95.67,86,1,6,93,98.85,165,0,3,168,3.17,75,92.5,98.2,5.7,Caribbean,Latin America & Caribbean
GRC,94.84,57,19,19,95,98.04,151,21,20,192,3.19,97,60.0,78.6,18.6,Southern Europe,Southern Europe
NLD,94.84,54,20,20,94,98.03,149,19,22,190,3.19,96,57.4,78.4,21.0,Western Europe,Western Europe
LKA,96.41,84,1,10,95,99.66,181,1,10,192,3.24,97,88.4,94.3,5.8,Southern Asia,Southern Asia
GIN,96.39,80,0,10,90,99.64,166,0,7,173,3.25,83,88.9,96.0,7.1,Western Africa,Sub-Saharan Africa
IRQ,95.35,83,3,9,95,98.88,179,2,8,189,3.54,94,87.4,94.7,7.3,Western Asia,Western Asia
ISL,94.47,58,17,19,94,98.01,150,18,23,191,3.54,97,61.7,78.5,16.8,Northern Europe,Northern Europe
GTM,95.74,88,0,7,95,99.29,190,0,2,192,3.55,97,92.6,99.0,6.3,Central America,Latin America & Caribbean
KWT,96.01,84,2,8,94,99.57,180,1,11,192,3.56,98,89.4,93.8,4.4,Western Asia,Western Asia
CHL,95.71,90,0,5,95,99.29,190,0,2,192,3.58,97,94.7,99.0,4.2,South America,Latin America & Caribbean
ESP,95.65,57,20,18,95,99.34,152,20,20,192,3.69,97,60.0,79.2,19.2,Southern Europe,Southern Europe
SMR,92.67,66,13,16,95,96.36,160,14,18,192,3.69,97,69.5,83.3,13.9,Southern Europe,Southern Europe
GUY,94.89,89,0,6,95,98.67,188,0,4,192,3.78,97,93.7,97.9,4.2,South America,Latin America & Caribbean
QAT,95.08,86,2,7,95,98.89,182,0,10,192,3.81,97,90.5,94.8,4.3,Western Asia,Western Asia
LTU,93.5,50,24,21,95,97.35,142,24,26,192,3.84,97,52.6,74.0,21.3,Northern Europe,Northern Europe
CPV,93.65,80,0,0,80,97.55,184,0,0,184,3.9,104,100.0,100.0,0.0,Western Africa,Sub-Saharan Africa
ITA,94.7,56,21,18,95,98.69,148,20,24,192,4.0,97,58.9,77.1,18.1,Southern Europe,Southern Europe
COL,94.02,90,0,5,95,98.03,186,0,6,192,4.01,97,94.7,96.9,2.1,South America,Latin America & Caribbean
NER,92.55,79,5,4,88,96.58,161,9,1,171,4.03,83,89.8,94.2,4.4,Western Africa,Sub-Saharan Africa
COD,92.27,68,1,4,73,96.37,130,0,9,139,4.1,66,93.2,93.5,0.4,Middle Africa,Sub-Saharan Africa
BIH,93.1,61,15,19,95,97.38,152,15,24,191,4.28,96,64.2,79.6,15.4,Southern Europe,Southern Europe
MAR,94.28,83,1,5,89,98.59,177,1,4,182,4.32,93,93.3,97.3,4.0,Northern Africa,Africa
IDN,93.88,82,2,11,95,98.38,183,2,7,192,4.5,97,86.3,95.3,9.0,South-eastern Asia,South-eastern Asia
TTO,94.07,88,1,6,95,98.65,186,0,4,190,4.58,95,92.6,97.9,5.3,Caribbean,Latin America & Caribbean
LBN,93.6,81,1,12,94,98.24,182,1,9,192,4.64,98,86.2,94.8,8.6,Western Asia,Western Asia
BDI,90.81,78,6,5,89,95.54,157,8,5,170,4.73,81,87.6,92.4,4.7,Eastern Africa,Sub-Saharan Africa
MLT,91.82,66,14,15,95,96.65,162,14,16,192,4.83,97,69.5,84.4,14.9,Southern Europe,Southern Europe
LIE,90.14,63,13,19,95,95.06,160,12,20,192,4.92,97,66.3,83.3,17.0,Western Europe,Western Europe
SAU,92.01,77,2,15,94,96.96,170,1,19,190,4.95,96,81.9,89.5,7.6,Western Asia,Western Asia
NOR,92.64,61,17,17,95,97.69,152,18,22,192,5.05,97,64.2,79.2,15.0,Northern Europe,Northern Europe
ZMB,94.89,66,1,0,67,99.97,158,0,2,160,5.08,93,98.5,98.8,0.2,Eastern Africa,Sub-Saharan Africa
PHL,93.89,84,0,11,95,99.02,188,0,4,192,5.13,97,88.4,97.9,9.5,South-eastern Asia,South-eastern Asia
OMN,93.8,78,3,13,94,98.94,179,2,11,192,5.14,98,83.0,93.2,10.3,Western Asia,Western Asia
KNA,93.73,71,1,5,77,98.92,178,0,3,181,5.19,104,92.2,98.3,6.1,Caribbean,Latin America & Caribbean
MMR,91.95,90,0,3,93,97.34,185,0,3,188,5.4,95,96.8,98.4,1.6,South-eastern Asia,South-eastern Asia
MEX,93.09,84,0,10,94,98.67,188,0,4,192,5.58,98,89.4,97.9,8.6,Central America,Latin America & Caribbean
HRV,91.78,52,21,22,95,97.37,147,23,22,192,5.59,97,54.7,76.6,21.8,Southern Europe,Southern Europe
FRA,89.0,50,26,19,95,94.66,142,28,22,192,5.66,97,52.6,74.0,21.3,Western Europe,Western Europe
BRA,91.38,84,0,10,94,97.06,183,0,9,192,5.68,98,89.4,95.3,6.0,South America,Latin America & Caribbean
COM,91.98,65,3,3,71,97.7,162,1,2,165,5.73,94,91.5,98.2,6.6,Eastern Africa,Sub-Saharan Africa
ERI,92.1,85,7,3,95,97.89,173,5,3,181,5.79,86,89.5,95.6,6.1,Eastern Africa,Sub-Saharan Africa
VUT,89.57,84,0,4,88,96.12,179,0,3,182,6.55,94,95.5,98.4,2.9,Melanesia,Oceania
SLB,87.72,67,0,5,72,94.3,166,0,9,175,6.58,103,93.1,94.9,1.8,Melanesia,Oceania
FJI,84.41,61,3,18,82,91.14,148,9,28,185,6.72,103,74.4,80.0,5.6,Melanesia,Oceania
CHE,86.55,58,12,25,95,93.4,160,10,22,192,6.86,97,61.1,83.3,22.3,Western Europe,Western Europe
ECU,88.38,80,0,11,91,95.3,174,0,14,188,6.92,97,87.9,92.6,4.6,South America,Latin America & Caribbean
SDN,90.02,75,9,9,93,96.97,173,8,8,189,6.95,96,80.6,91.5,10.9,Northern Africa,Africa
MHL,83.07,68,10,9,87,90.05,148,10,23,181,6.97,94,78.2,81.8,3.6,Micronesia,Oceania
MNG,90.94,85,0,9,94,97.97,180,0,11,191,7.03,97,90.4,94.2,3.8,Eastern Asia,Eastern Asia
GBR,85.97,49,32,14,95,93.01,141,31,20,192,7.04,97,51.6,73.4,21.9,Northern Europe,Northern Europe
IRL,88.38,65,13,17,95,95.66,158,15,19,192,7.28,97,68.4,82.3,13.9,Northern Europe,Northern Europe
RWA,90.35,73,0,12,85,97.77,159,0,9,168,7.43,83,85.9,94.6,8.8,Eastern Africa,Sub-Saharan Africa
MLI,89.06,80,10,3,93,96.79,170,8,2,180,7.73,87,86.0,94.4,8.4,Western Africa,Sub-Saharan Africa
CIV,88.38,79,0,12,91,96.38,182,0,8,190,7.99,99,86.8,95.8,9.0,Western Africa,Sub-Saharan Africa
MDA,88.15,59,14,22,95,96.51,154,15,22,191,8.35,96,62.1,80.6,18.5,Eastern Europe,Eastern Europe
AUT,86.25,61,16,18,95,95.12,156,16,20,192,8.87,97,64.2,81.2,17.0,Western Europe,Western Europe
BOL,89.39,80,2,9,91,98.39,39,1,0,40,9.0,-51,87.9,97.5,9.6,South America,Latin America & Caribbean
URY,90.65,86,0,9,95,99.92,190,0,0,190,9.26,95,90.5,100.0,9.5,South America,Latin America & Caribbean
ZWE,86.54,75,6,10,91,95.87,167,3,12,182,9.34,91,82.4,91.8,9.3,Eastern Africa,Sub-Saharan Africa
TUV,87.75,56,1,8,65,97.18,133,1,8,142,9.42,77,86.2,93.7,7.5,Polynesia,Oceania
PNG,85.23,65,20,7,92,94.7,152,16,13,181,9.48,89,70.7,84.0,13.3,Melanesia,Oceania
KIR,86.33,66,1,13,80,96.16,66,0,4,70,9.84,-10,82.5,94.3,11.8,Micronesia,Oceania
CHN,87.18,68,11,15,94,97.15,167,7,18,192,9.97,98,72.3,87.0,14.6,Eastern Asia,Eastern Asia
NRU,73.69,31,15,4,50,84.21,37,15,4,56,10.53,6,62.0,66.1,4.1,Micronesia,Oceania
PAK,84.31,69,4,21,94,94.84,165,3,22,190,10.54,96,73.4,86.8,13.4,Southern Asia,Southern Asia
NZL,79.0,65,16,14,95,89.72,161,16,15,192,10.73,97,68.4,83.9,15.4,Australia and New Zealand,Oceania
IND,81.85,66,4,25,95,92.76,161,5,26,192,10.92,97,69.5,83.9,14.4,Southern Asia,Southern Asia
TGO,84.64,68,0,22,90,95.89,170,0,20,190,11.25,100,75.6,89.5,13.9,Western Africa,Sub-Saharan Africa
PAN,82.2,73,0,21,94,94.0,173,0,18,191,11.8,97,77.7,90.6,12.9,Central America,Latin America & Caribbean
CUB,82.67,76,10,9,95,95.03,173,7,8,188,12.36,93,80.0,92.0,12.0,Caribbean,Latin America & Caribbean
PLW,80.72,56,17,17,90,93.17,142,22,9,173,12.45,83,62.2,82.1,19.9,Micronesia,Oceania
MWI,84.55,69,2,7,78,97.11,150,0,3,153,12.56,75,88.5,98.0,9.6,Eastern Africa,Sub-Saharan Africa
PRK,79.21,51,21,14,86,92.01,142,21,18,181,12.8,95,59.3,78.5,19.2,Eastern Asia,Eastern Asia
NIC,78.98,72,16,6,94,92.34,153,15,6,174,13.36,80,76.6,87.9,11.3,Central America,Latin America & Caribbean
JPN,76.57,61,15,19,95,90.47,156,12,24,192,13.9,97,64.2,81.2,17.0,Eastern Asia,Eastern Asia
IRN,81.32,67,11,13,91,95.45,162,5,18,185,14.13,94,73.6,87.6,13.9,Southern Asia,Southern Asia
SRB,75.46,54,5,23,82,89.59,139,6,26,171,14.14,89,65.9,81.3,15.4,Southern Europe,Southern Europe
TON,80.34,53,14,12,79,94.51,148,12,14,174,14.16,95,67.1,85.1,18.0,Polynesia,Oceania
AUS,71.8,56,22,17,95,87.3,152,20,20,192,15.5,97,58.9,79.2,20.2,Australia and New Zealand,Oceania
CMR,75.97,59,0,26,85,93.13,149,0,21,170,17.16,85,69.4,87.6,18.2,Middle Africa,Sub-Saharan Africa
CYP,68.84,66,12,17,95,86.02,160,14,18,192,17.18,97,69.5,83.3,13.9,Western Asia,Western Asia
LBR,79.5,62,1,14,77,97.59,155,0,2,157,18.09,80,80.5,98.7,18.2,Western Africa,Sub-Saharan Africa
SYR,80.47,54,13,7,74,98.6,85,1,7,93,18.13,19,73.0,91.4,18.4,Western Asia,Western Asia
KOR,68.82,55,21,19,95,87.49,148,19,24,191,18.66,96,57.9,77.5,19.6,Eastern Asia,Eastern Asia
ARM,71.48,62,1,27,90,90.91,158,2,20,180,19.43,90,68.9,87.8,18.9,Western Asia,Western Asia
TUR,66.19,60,16,16,92,85.96,151,16,21,188,19.76,96,65.2,80.3,15.1,Western Asia,Western Asia
FSM,69.19,40,26,9,75,89.4,120,27,11,158,20.21,83,53.3,75.9,22.6,Micronesia,Oceania
RUS,47.89,53,33,9,95,77.9,142,31,19,192,30.01,97,55.8,74.0,18.2,Eastern Europe,Eastern Europe
BLR,45.66,65,13,16,94,78.97,159,12,20,191,33.31,97,69.1,83.2,14.1,Eastern Europe,Eastern Europe
GEO,40.51,44,10,39,93,80.12,133,11,39,183,39.61,90,47.3,72.7,25.4,Western Asia,Western Asia
