broad_region,iso3,region,p2_2024,p2_2025,p2_change,region_avg_change,contribution_to_region_avg_change,total_2024,total_2025
Latin America & Caribbean,CRI,Central America,95.71,96.73,1.01,3.32,0.03,95,191
Latin America & Caribbean,DMA,Caribbean,93.99,94.72,0.73,3.32,0.02,28,48
Latin America & Caribbean,HND,Central America,98.2,98.88,0.68,3.32,0.02,94,173
Latin America & Caribbean,PER,South America,97.33,97.68,0.35,3.32,0.01,95,190
Latin America & Caribbean,SUR,South America,99.76,99.61,-0.15,3.32,-0.0,92,191
Latin America & Caribbean,VCT,Caribbean,95.97,96.07,0.1,3.32,0.0,80,16
Northern America,CAN,Northern America,96.44,83.94,-12.5,-10.35,-6.25,95,192
Northern America,USA,Northern America,96.61,88.41,-8.2,-10.35,-4.1,94,192
Northern Europe,IRL,Northern Europe,88.38,95.66,7.28,3.29,0.73,95,192
Northern Europe,GBR,Northern Europe,85.97,93.01,7.04,3.29,0.7,95,192
Northern Europe,NOR,Northern Europe,92.64,97.69,5.05,3.29,0.51,95,192
Northern Europe,LTU,Northern Europe,93.5,97.35,3.84,3.29,0.38,95,192
Northern Europe,ISL,Northern Europe,94.47,98.01,3.54,3.29,0.35,94,191
Northern Europe,EST,Northern Europe,95.53,98.35,2.82,3.29,0.28,95,191
Northern Europe,SWE,Northern Europe,98.26,100.0,1.74,3.29,0.17,95,192
Northern Europe,LVA,Northern Europe,96.44,97.38,0.93,3.29,0.09,95,192
Northern Europe,DNK,Northern Europe,99.14,99.67,0.54,3.29,0.05,95,192
Northern Europe,FIN,Northern Europe,98.22,98.37,0.15,3.29,0.01,95,192
Oceania,FSM,Micronesia,69.19,89.4,20.21,9.86,1.44,75,158
Oceania,AUS,Australia and New Zealand,71.8,87.3,15.5,9.86,1.11,95,192
Oceania,TON,Polynesia,80.34,94.51,14.16,9.86,1.01,79,174
Oceania,PLW,Micronesia,80.72,93.17,12.45,9.86,0.89,90,173
