Country,Closest_P5,Closest_Sim,Sim_USA,Sim_GBR,Sim_FRA,Sim_RUS,Sim_CHN
MHL,FRA,0.7444,-0.6627,0.7401,0.7444,0.4657,0.6875
MKD,FRA,0.8447,-0.4883,0.8276,0.8447,0.4733,0.5687
MLI,CHN,0.8978,-0.8841,0.4686,0.5001,0.7009,0.8978
MLT,FRA,0.8383,-0.6724,0.7989,0.8383,0.4527,0.6857
MMR,CHN,0.8639,-0.8564,0.6167,0.6428,0.5925,0.8639
MNE,FRA,0.9443,-0.5863,0.9038,0.9443,0.5349,0.6551
MNG,CHN,0.9267,-0.9121,0.574,0.6002,0.68,0.9267
MOZ,CHN,0.8997,-0.8805,0.5476,0.5682,0.6724,0.8997
MRT,CHN,0.8953,-0.8816,0.5414,0.5675,0.6762,0.8953
MUS,CHN,0.8871,-0.8902,0.5854,0.606,0.629,0.8871
MWI,CHN,0.7675,-0.7584,0.4732,0.5072,0.509,0.7675
MYS,CHN,0.8949,-0.8919,0.5703,0.6017,0.6522,0.8949
NAM,CHN,0.8723,-0.8541,0.5048,0.5259,0.6351,0.8723
NER,CHN,0.878,-0.8255,0.4503,0.4765,0.6939,0.878
NGA,CHN,0.8329,-0.8219,0.5026,0.5305,0.594,0.8329
NIC,CHN,0.8715,-0.8247,0.3588,0.3965,0.7684,0.8715
NLD,FRA,0.9113,-0.6029,0.8765,0.9113,0.5103,0.6551
NOR,FRA,0.9176,-0.6163,0.9006,0.9176,0.519,0.6745
NPL,CHN,0.9072,-0.8987,0.5668,0.5929,0.6781,0.9072
NRU,CHN,0.1051,-0.1022,-0.074,-0.0638,-0.0949,0.1051
NZL,GBR,0.8196,-0.6705,0.8196,0.8186,0.4572,0.6781
OMN,CHN,0.8959,-0.8877,0.5384,0.5644,0.6838,0.8959
PAK,CHN,0.9358,-0.8418,0.6177,0.645,0.7743,0.9358
PAN,CHN,0.8242,-0.8183,0.5971,0.6181,0.5607,0.8242
PER,CHN,0.8574,-0.8556,0.5862,0.6123,0.5901,0.8574
PHL,CHN,0.8902,-0.8818,0.595,0.6209,0.6321,0.8902
PLW,CHN,0.5565,-0.5526,0.524,0.533,0.3325,0.5565
PNG,CHN,0.62,-0.6256,0.4824,0.503,0.3813,0.62
POL,FRA,0.9259,-0.5419,0.9028,0.9259,0.5177,0.6042
PRK,RUS,0.8933,-0.7507,0.43,0.4686,0.8933,0.861
PRT,FRA,0.9415,-0.5902,0.9012,0.9415,0.5391,0.659
PRY,CHN,0.3817,-0.3712,0.3519,0.354,0.1659,0.3817
QAT,CHN,0.8935,-0.9017,0.5652,0.5913,0.665,0.8935
ROU,FRA,0.9318,-0.5248,0.9087,0.9318,0.4942,0.5984
RWA,CHN,0.8657,-0.8536,0.5019,0.5292,0.6331,0.8657
SAU,CHN,0.887,-0.8682,0.5306,0.5572,0.7093,0.887
SDN,CHN,0.8903,-0.8658,0.4817,0.5074,0.712,0.8903
SEN,CHN,0.8953,-0.8926,0.5528,0.5905,0.6592,0.8953
SGP,CHN,0.8974,-0.8835,0.6054,0.6315,0.6372,0.8974
SLB,CHN,0.8649,-0.8468,0.5149,0.5417,0.6255,0.8649
SLE,CHN,0.8703,-0.8632,0.5333,0.5598,0.6127,0.8703
SLV,CHN,0.8605,-0.8481,0.5731,0.5882,0.6298,0.8605
SMR,FRA,0.8489,-0.6762,0.815,0.8489,0.4553,0.6782
SOM,CHN,0.796,-0.7804,0.4462,0.4753,0.5889,0.796
SRB,CHN,0.7681,-0.7408,0.7219,0.7516,0.6314,0.7681
SSD,CHN,0.4362,-0.4242,0.2382,0.2522,0.425,0.4362
STP,CHN,0.2158,-0.1632,0.1929,0.194,0.1443,0.2158
SUR,CHN,0.88,-0.8664,0.603,0.6287,0.6178,0.88
SVK,FRA,0.9349,-0.5517,0.9001,0.9349,0.4986,0.62
SVN,FRA,0.933,-0.5941,0.8928,0.933,0.5318,0.6628
SWE,FRA,0.9384,-0.575,0.9096,0.9384,0.5116,0.6319
SWZ,CHN,0.6697,-0.6513,0.4463,0.4658,0.5877,0.6697
SYC,CHN,0.8373,-0.8255,0.5497,0.5647,0.5889,0.8373
