iso3,total_2024,total_2025,total_change,participation_change_pct,p1_2024,p1_2025,p1_change,region,broad_region
IND,95,192,97,102.1,77.67540159324216,71.7844553700437,-5.89,Southern Asia,Southern Asia
SGP,95,192,97,102.1,88.67485218247228,82.4091755550755,-6.27,South-eastern Asia,South-eastern Asia
AUS,95,192,97,102.1,62.50928784168977,66.05664129511304,3.55,Australia and New Zealand,Oceania
GBR,95,192,97,102.1,69.38444719262182,62.99908763563707,-6.39,Northern Europe,Northern Europe
ZAF,95,192,97,102.1,85.24926786006867,81.27879419289393,-3.97,Southern Africa,Sub-Saharan Africa
GUY,95,192,97,102.1,97.2969528571447,90.5016285130228,-6.8,South America,Latin America & Caribbean
QAT,95,192,97,102.1,91.80315649673824,84.73096454444652,-7.07,Western Asia,Western Asia
MLT,95,192,97,102.1,76.67299872005435,69.24922871197352,-7.42,Southern Europe,Southern Europe
DZA,95,192,97,102.1,87.01281058557885,74.96969350308532,-12.04,Northern Africa,Africa
BHR,95,192,97,102.1,88.26300625946939,79.70008936825417,-8.56,Western Asia,Western Asia
CAN,95,192,97,102.1,69.66649955980394,60.59912146833135,-9.07,Northern America,Northern America
MYS,95,192,97,102.1,94.33850085003871,85.22676073667029,-9.11,South-eastern Asia,South-eastern Asia
IDN,95,192,97,102.1,85.90126318309129,76.42195235842709,-9.48,South-eastern Asia,South-eastern Asia
FRA,95,192,97,102.1,71.49866126262691,61.708363137154656,-9.79,Western Europe,Western Europe
CHE,95,192,97,102.1,78.90927395353359,68.45394317664788,-10.46,Western Europe,Western Europe
JPN,95,192,97,102.1,78.39186839647661,72.70649911515915,-5.69,Eastern Asia,Eastern Asia
CYP,95,192,97,102.1,76.47819204581731,71.04716738007049,-5.43,Western Asia,Western Asia
IRL,95,192,97,102.1,80.20093405012086,73.57939893170828,-6.62,Northern Europe,Northern Europe
LIE,95,192,97,102.1,75.95535657633248,71.89884473684606,-4.06,Western Europe,Western Europe
GTM,95,192,97,102.1,76.71999194280195,76.53033716860749,-0.19,Central America,Latin America & Caribbean
SWE,95,192,97,102.1,69.14799078670217,71.52058493091495,2.37,Northern Europe,Northern Europe
NZL,95,192,97,102.1,76.88718171173481,72.02610652105888,-4.86,Australia and New Zealand,Oceania
CZE,95,192,97,102.1,68.33254319224667,64.19000135488781,-4.14,Eastern Europe,Eastern Europe
SMR,95,192,97,102.1,75.67221525210921,71.51021087494298,-4.16,Southern Europe,Southern Europe
BRN,95,192,97,102.1,90.06379877505474,74.80784163040673,-15.26,South-eastern Asia,South-eastern Asia
DJI,90,182,92,102.2,84.11852507892817,84.45659315270903,0.34,Eastern Africa,Sub-Saharan Africa
MMR,93,188,95,102.2,90.00990747344349,98.46841381694952,8.46,South-eastern Asia,South-eastern Asia
BLZ,88,178,90,102.3,93.5886800782889,89.09640261510013,-4.49,Central America,Latin America & Caribbean
UZB,84,170,86,102.4,79.53787099500349,79.76732733346634,0.23,Central Asia,Central Asia
GNB,77,156,79,102.6,87.80521461932129,82.84135625919025,-4.96,Western Africa,Sub-Saharan Africa
PRY,94,191,97,103.2,57.80887715375432,46.71355263927356,-11.1,South America,Latin America & Caribbean
MNG,94,191,97,103.2,91.40369376721507,87.61416313032694,-3.79,Eastern Asia,Eastern Asia
JOR,94,191,97,103.2,85.47845811732196,84.19676288941821,-1.28,Western Asia,Western Asia
SDN,93,189,96,103.2,66.65001522295834,65.35995608065618,-1.29,Northern Africa,Africa
PAN,94,191,97,103.2,77.28851799911189,75.95730180398512,-1.33,Central America,Latin America & Caribbean
BGD,94,191,97,103.2,90.4240179567531,84.55064129991129,-5.87,Southern Asia,Southern Asia
ARE,94,191,97,103.2,89.6218581883582,83.14578758038869,-6.48,Western Asia,Western Asia
BLR,94,191,97,103.2,75.71013048606122,61.476108979234745,-14.23,Eastern Europe,Eastern Europe
ISL,94,191,97,103.2,71.48266459074462,69.30951803748115,-2.17,Northern Europe,Northern Europe
IRN,91,185,94,103.3,76.20697687544391,64.17633987381787,-12.03,Southern Asia,Southern Asia
MUS,91,185,94,103.3,94.49719344910218,90.90278443972734,-3.59,Eastern Africa,Sub-Saharan Africa
TZA,84,171,87,103.6,82.53212913837385,79.65825467331679,-2.87,Eastern Africa,Sub-Saharan Africa
SYC,84,171,87,103.6,93.49031853560048,92.554647925987,-0.94,Eastern Africa,Sub-Saharan Africa
LBR,77,157,80,103.9,26.77855498181414,43.66990552645172,16.89,Western Africa,Sub-Saharan Africa
ETH,92,188,96,104.3,78.31087963896506,70.39243491403688,-7.92,Eastern Africa,Sub-Saharan Africa
TUR,92,188,96,104.3,73.44841257967595,69.60238970041337,-3.85,Western Asia,Western Asia
CHN,94,192,98,104.3,74.83514343032589,63.09077672454289,-11.74,Eastern Asia,Eastern Asia
LBN,94,192,98,104.3,82.96445912157581,82.10595963836182,-0.86,Western Asia,Western Asia
MCO,92,188,96,104.3,72.39385039094942,69.22779351326517,-3.17,Western Europe,Western Europe
OMN,94,192,98,104.3,82.56557965997915,75.0783277942179,-7.49,Western Asia,Western Asia
PRT,94,192,98,104.3,75.44915162886461,72.25600823363011,-3.19,Southern Europe,Southern Europe
TUN,93,190,97,104.3,88.91166459800046,84.24234767270177,-4.67,Northern Africa,Africa
KWT,94,192,98,104.3,88.9755704620726,82.91359687096914,-6.06,Western Asia,Western Asia
BRA,94,192,98,104.3,64.89727479089274,73.97749119482957,9.08,South America,Latin America & Caribbean
MEX,94,192,98,104.3,87.99263574265248,86.31413215355582,-1.68,Central America,Latin America & Caribbean
MDV,94,192,98,104.3,92.74697267480876,89.73588626220179,-3.01,Southern Asia,Southern Asia
USA,94,192,98,104.3,72.02679694693127,45.21322006625293,-26.81,Northern America,Northern America
DEU,94,192,98,104.3,66.94778672453094,68.9720790045068,2.02,Western Europe,Western Europe
AND,93,190,97,104.3,76.46065993864396,71.04063784352127,-5.42,Southern Europe,Southern Europe
LBY,91,186,95,104.4,89.91456504253996,77.6750629876918,-12.24,Northern Africa,Africa
MAR,89,182,93,104.5,89.25991489356808,86.32831890538786,-2.93,Northern Africa,Africa
VNM,92,189,97,105.4,84.09398392861803,77.44457671704755,-6.65,South-eastern Asia,South-eastern Asia
AGO,92,189,97,105.4,83.39735711111453,81.32003115138122,-2.08,Middle Africa,Sub-Saharan Africa
GMB,84,173,89,106.0,97.9389028484459,92.23405378613676,-5.7,Western Africa,Sub-Saharan Africa
KHM,92,190,98,106.5,85.57379983526941,85.30348713871408,-0.27,South-eastern Asia,South-eastern Asia
ECU,91,188,97,106.6,78.90831361146324,79.72630824773334,0.82,South America,Latin America & Caribbean
MKD,91,188,97,106.6,45.95611581335178,51.334885180228824,5.38,Southern Europe,Southern Europe
VUT,88,182,94,106.8,88.0305038894789,84.35907029783546,-3.67,Melanesia,Oceania
GAB,84,174,90,107.1,81.11585058878646,82.9027732456904,1.79,Middle Africa,Sub-Saharan Africa
SUR,92,191,99,107.6,90.7705685742375,94.45478546566652,3.68,South America,Latin America & Caribbean
KAZ,90,187,97,107.8,82.90934964839832,78.7996130819262,-4.11,Central Asia,Central Asia
MHL,87,181,94,108.0,62.536082347200065,66.65727779507469,4.12,Micronesia,Oceania
TKM,61,127,66,108.2,100.0,92.1915016342812,-7.81,Central Asia,Central Asia
SRB,82,171,89,108.5,73.26592485118228,71.39428527629745,-1.87,Southern Europe,Southern Europe
CIV,91,190,99,108.8,91.8827835618653,83.81368142498414,-8.07,Western Africa,Sub-Saharan Africa
NPL,91,190,99,108.8,91.0542661848284,87.99378532519616,-3.06,Southern Asia,Southern Asia
JAM,90,188,98,108.9,93.1250685560994,91.83813796519568,-1.29,Caribbean,Latin America & Caribbean
TCD,89,186,97,109.0,87.88191455198013,92.26380328982904,4.38,Middle Africa,Sub-Saharan Africa
BFA,81,170,89,109.9,94.61948402522266,91.52813379729386,-3.09,Western Africa,Sub-Saharan Africa
TLS,90,189,99,110.0,92.83782711978928,89.5447021466123,-3.29,South-eastern Asia,South-eastern Asia
MRT,89,187,98,110.1,88.6153358030472,79.26004240520108,-9.36,Western Africa,Sub-Saharan Africa
SEN,88,185,97,110.2,94.63876594697132,86.47160413965429,-8.17,Western Africa,Sub-Saharan Africa
PRK,86,181,95,110.5,70.62209838233628,57.69193882298998,-12.93,Eastern Asia,Eastern Asia
FSM,75,158,83,110.7,71.5017413757577,60.929216417916386,-10.57,Micronesia,Oceania
HTI,81,171,90,111.1,84.39147030846706,84.36128524989502,-0.03,Caribbean,Latin America & Caribbean
TGO,90,190,100,111.1,73.43321456520452,69.08738360201556,-4.35,Western Africa,Sub-Saharan Africa
UGA,87,184,97,111.5,80.69950622041098,74.33556042252555,-6.36,Eastern Africa,Sub-Saharan Africa
KGZ,87,184,97,111.5,79.10141483609364,76.9422903042979,-2.16,Central Asia,Central Asia
WSM,65,140,75,115.4,84.78804700084875,76.47978386771103,-8.31,Polynesia,Oceania
MOZ,86,186,100,116.3,88.32761823896998,83.58767876512465,-4.74,Eastern Africa,Sub-Saharan Africa
TUV,65,142,77,118.5,84.82569558436629,81.05259198801394,-3.77,Polynesia,Oceania
AZE,72,158,86,119.4,89.74350443584234,87.38122479550513,-2.36,Western Asia,Western Asia
TON,79,174,95,120.3,22.98560021327366,29.404877692988084,6.42,Polynesia,Oceania
TJK,82,183,101,123.2,83.96157807683342,76.45391388241079,-7.51,Central Asia,Central Asia
FJI,82,185,103,125.6,47.50419136387025,48.88596858343967,1.38,Melanesia,Oceania
GNQ,71,161,90,126.8,78.26737333248889,79.59917466829097,1.33,Middle Africa,Sub-Saharan Africa
CAF,69,158,89,129.0,46.09457990143219,53.66316945278043,7.57,Middle Africa,Sub-Saharan Africa
CPV,80,184,104,130.0,97.0003987954183,96.771449046632,-0.23,Western Africa,Sub-Saharan Africa
COM,71,165,94,132.4,68.12550663887507,82.79697347232464,14.67,Eastern Africa,Sub-Saharan Africa
KNA,77,181,104,135.1,92.86484881218767,85.5854160171628,-7.28,Caribbean,Latin America & Caribbean
ZMB,67,160,93,138.8,73.53158707016667,86.66581754830783,13.13,Eastern Africa,Sub-Saharan Africa
SLB,72,175,103,143.1,88.18319714824356,83.21054398192771,-4.97,Melanesia,Oceania
SSD,19,56,37,194.7,0.0,36.61905855324833,36.62,Eastern Africa,Sub-Saharan Africa
