iso3,p1_2024,yes_2024,no_2024,abstain_2024,total_2024,p1_2025,yes_2025,no_2025,abstain_2025,total_2025,p1_change,total_change,yes_pct_2024,yes_pct_2025,yes_pct_change,region,broad_region
BGD,90.4240179567531,84,1,9,94,84.55064129991129,183,1,7,191,-5.87,97,89.4,95.8,6.4,Southern Asia,Southern Asia
MDA,74.34040891833907,59,14,22,95,68.46954962422875,154,15,22,191,-5.87,96,62.1,80.6,18.5,Eastern Europe,Eastern Europe
GMB,97.9389028484459,82,0,2,84,92.23405378613676,165,0,8,173,-5.7,89,97.6,95.4,-2.2,Western Africa,Sub-Saharan Africa
JPN,78.39186839647661,61,15,19,95,72.70649911515915,156,12,24,192,-5.69,97,64.2,81.2,17.0,Eastern Asia,Eastern Asia
NGA,83.90155089503978,78,0,10,88,78.36767126447836,151,0,10,161,-5.53,73,88.6,93.8,5.2,Western Africa,Sub-Saharan Africa
CYP,76.47819204581731,66,12,17,95,71.04716738007049,160,14,18,192,-5.43,97,69.5,83.3,13.8,Western Asia,Western Asia
AND,76.46065993864396,64,13,16,93,71.04063784352127,157,13,20,190,-5.42,97,68.8,82.6,13.8,Southern Europe,Southern Europe
KEN,88.01866927518576,84,0,10,94,82.82175502479878,170,0,9,179,-5.2,85,89.4,95.0,5.6,Eastern Africa,Sub-Saharan Africa
RWA,74.14662033460526,73,0,12,85,69.04399918347376,159,0,9,168,-5.1,83,85.9,94.6,8.7,Eastern Africa,Sub-Saharan Africa
SLB,88.18319714824356,67,0,5,72,83.21054398192771,166,0,9,175,-4.97,103,93.1,94.9,1.8,Melanesia,Oceania
GNB,87.80521461932129,70,0,7,77,82.84135625919025,152,0,4,156,-4.96,79,90.9,97.4,6.5,Western Africa,Sub-Saharan Africa
URY,87.50802989624219,86,0,9,95,82.54653719321145,190,0,0,190,-4.96,95,90.5,100.0,9.5,South America,Latin America & Caribbean
DOM,94.78032694407015,89,0,6,95,89.83494496207457,185,0,4,189,-4.95,94,93.7,97.9,4.2,Caribbean,Latin America & Caribbean
NZL,76.88718171173481,65,16,14,95,72.02610652105888,161,16,15,192,-4.86,97,68.4,83.9,15.5,Australia and New Zealand,Oceania
MOZ,88.32761823896998,77,0,9,86,83.58767876512465,175,0,11,186,-4.74,100,89.5,94.1,4.6,Eastern Africa,Sub-Saharan Africa
TUN,88.91166459800046,84,1,8,93,84.24234767270177,182,1,7,190,-4.67,97,90.3,95.8,5.5,Northern Africa,Africa
BLZ,93.5886800782889,84,1,3,88,89.09640261510013,176,0,2,178,-4.49,90,95.5,98.9,3.4,Central America,Latin America & Caribbean
TGO,73.43321456520452,68,0,22,90,69.08738360201556,170,0,20,190,-4.35,100,75.6,89.5,13.9,Western Africa,Sub-Saharan Africa
SMR,75.67221525210921,66,13,16,95,71.51021087494298,160,14,18,192,-4.16,97,69.5,83.3,13.8,Southern Europe,Southern Europe
CZE,68.33254319224667,48,27,20,95,64.19000135488781,139,25,28,192,-4.14,97,50.5,72.4,21.9,Eastern Europe,Eastern Europe
KAZ,82.90934964839832,81,0,9,90,78.7996130819262,177,0,10,187,-4.11,97,90.0,94.7,4.7,Central Asia,Central Asia
LIE,75.95535657633248,63,13,19,95,71.89884473684606,160,12,20,192,-4.06,97,66.3,83.3,17.0,Western Europe,Western Europe
POL,70.52554920585817,51,23,21,95,66.49743912250428,143,24,25,192,-4.03,97,53.7,74.5,20.8,Eastern Europe,Eastern Europe
ZAF,85.24926786006867,86,1,8,95,81.27879419289393,182,1,9,192,-3.97,97,90.5,94.8,4.3,Southern Africa,Sub-Saharan Africa
LVA,75.11165476286307,53,23,19,95,71.23074764808358,144,24,24,192,-3.88,97,55.8,75.0,19.2,Northern Europe,Northern Europe
TUR,73.44841257967595,60,16,16,92,69.60238970041337,151,16,21,188,-3.85,96,65.2,80.3,15.1,Western Asia,Western Asia
MNG,91.40369376721507,85,0,9,94,87.61416313032694,180,0,11,191,-3.79,97,90.4,94.2,3.8,Eastern Asia,Eastern Asia
TUV,84.82569558436629,56,1,8,65,81.05259198801394,133,1,8,142,-3.77,77,86.2,93.7,7.5,Polynesia,Oceania
VUT,88.0305038894789,84,0,4,88,84.35907029783546,179,0,3,182,-3.67,94,95.5,98.4,2.9,Melanesia,Oceania
THA,88.69223315179167,89,0,6,95,85.10009478371165,186,0,6,192,-3.59,97,93.7,96.9,3.2,South-eastern Asia,South-eastern Asia
MUS,94.49719344910218,87,0,4,91,90.90278443972734,180,0,5,185,-3.59,94,95.6,97.3,1.7,Eastern Africa,Sub-Saharan Africa
EST,74.01761583367121,53,24,18,95,70.52617535446224,144,23,24,191,-3.49,96,55.8,75.4,19.6,Northern Europe,Northern Europe
TLS,92.83782711978928,85,0,5,90,89.5447021466123,187,0,2,189,-3.29,99,94.4,98.9,4.5,South-eastern Asia,South-eastern Asia
PRT,75.44915162886461,56,18,20,94,72.25600823363011,152,20,20,192,-3.19,98,59.6,79.2,19.6,Southern Europe,Southern Europe
MCO,72.39385039094942,52,20,20,92,69.22779351326517,146,20,22,188,-3.17,96,56.5,77.7,21.2,Western Europe,Western Europe
SLV,92.77159916754756,87,0,6,93,89.63052077922876,170,0,11,181,-3.14,88,93.5,93.9,0.4,Central America,Latin America & Caribbean
BFA,94.61948402522266,77,4,0,81,91.52813379729386,163,6,1,170,-3.09,89,95.1,95.9,0.8,Western Africa,Sub-Saharan Africa
LTU,71.20404361564508,50,24,21,95,68.13481248831496,142,24,26,192,-3.07,97,52.6,74.0,21.4,Northern Europe,Northern Europe
NPL,91.0542661848284,79,0,12,91,87.99378532519616,181,0,9,190,-3.06,99,86.8,95.3,8.5,Southern Asia,Southern Asia
LKA,81.24307603522362,84,1,10,95,78.20043124271356,181,1,10,192,-3.04,97,88.4,94.3,5.9,Southern Asia,Southern Asia
BHS,92.79071008540902,87,0,5,92,89.76496328179016,182,0,3,185,-3.03,93,94.6,98.4,3.8,Caribbean,Latin America & Caribbean
ARM,76.81380791422359,62,1,27,90,73.79817897107648,158,2,20,180,-3.02,90,68.9,87.8,18.9,Western Asia,Western Asia
MDV,92.74697267480876,87,2,5,94,89.73588626220179,186,1,5,192,-3.01,98,92.6,96.9,4.3,Southern Asia,Southern Asia
MAR,89.25991489356808,83,1,5,89,86.32831890538786,177,1,4,182,-2.93,93,93.3,97.3,4.0,Northern Africa,Africa
TZA,82.53212913837385,78,0,6,84,79.65825467331679,162,0,9,171,-2.87,87,92.9,94.7,1.8,Eastern Africa,Sub-Saharan Africa
KOR,74.75900751723194,55,21,19,95,71.9396057301385,148,19,24,191,-2.82,96,57.9,77.5,19.6,Eastern Asia,Eastern Asia
MNE,72.68274847764587,57,20,18,95,69.93332657385628,151,20,21,192,-2.75,97,60.0,78.6,18.6,Southern Europe,Southern Europe
HRV,70.12321253101392,52,21,22,95,67.49214284211457,147,23,22,192,-2.63,97,54.7,76.6,21.9,Southern Europe,Southern Europe
SAU,77.45534870984353,77,2,15,94,75.00789069888214,170,1,19,190,-2.45,96,81.9,89.5,7.6,Western Asia,Western Asia
NOR,77.32441537814812,61,17,17,95,74.90526411332003,152,18,22,192,-2.42,97,64.2,79.2,15.0,Northern Europe,Northern Europe
LUX,72.80680051666766,56,20,19,95,70.402085010053,151,21,20,192,-2.4,97,58.9,78.6,19.7,Western Europe,Western Europe
AZE,89.74350443584234,70,0,2,72,87.38122479550513,157,0,1,158,-2.36,86,97.2,99.4,2.2,Western Asia,Western Asia
DNK,72.38901640594004,55,22,18,95,70.05248479422549,149,22,21,192,-2.34,97,57.9,77.6,19.7,Northern Europe,Northern Europe
