partner,sim_2024,sim_2025,sim_change,is_key_partner,region,sim_CHN_2024,sim_CHN_2025,sim_CHN_change,sim_RUS_2024,sim_RUS_2025,sim_RUS_change
UKR,0.4925022529601266,-0.507049489480671,-0.9996,True,Eastern Europe,0.0272873897271909,0.5633693792453259,0.5361,-0.0784598671448912,0.4748364488739154,0.5533
BEL,0.4075316548660469,-0.5902230474174398,-0.9978,False,Western Europe,0.1518987341772152,0.6474096597792731,0.4955,-1.3877787807814457e-17,0.5159441963674855,0.5159
FIN,0.4182580053461556,-0.5733595317769415,-0.9916,False,Northern Europe,0.1299139604923262,0.6358487729975004,0.5059,0.0124514561272938,0.5275384479712492,0.5151
KOR,0.4029063721327032,-0.5875841572831358,-0.9905,True,Eastern Asia,0.1419620765529085,0.6511636053126351,0.5092,0.0494770695995293,0.5412607565073478,0.4918
FRA,0.478451316907585,-0.5088726821608879,-0.9873,True,Western Europe,0.0774338599379501,0.5930633506894807,0.5156,0.0123692673998823,0.507308034320866,0.4949
ROU,0.4624896567717966,-0.5248324511655195,-0.9873,False,Eastern Europe,0.0526726314483473,0.5983665562332322,0.5457,-0.0252417429621412,0.4941946037675785,0.5194
MCO,0.4139469470433776,-0.572185758903967,-0.9861,False,Western Europe,0.1458521687655505,0.6413540326161715,0.4955,0.0254164283887674,0.5251857225577392,0.4998
ESP,0.3752639502927207,-0.601465391177772,-0.9767,True,Southern Europe,0.1538587989087524,0.6589705465610458,0.5051,0.0122886849955052,0.5391326995750129,0.5268
POL,0.4338344254369819,-0.5419465528339602,-0.9758,True,Eastern Europe,0.0915521683033232,0.6042328950198326,0.5127,0.025070610528195,0.5177276801374632,0.4927
LVA,0.4406788445201441,-0.5346435123521158,-0.9753,False,Northern Europe,0.1032451465839334,0.6024318987782535,0.4992,0.0247385347997646,0.5103187909270492,0.4856
BGR,0.4465942614792461,-0.5270781021998281,-0.9737,False,Eastern Europe,0.0784732871171342,0.5956180749098866,0.5171,-0.0501412210563899,0.471896256834079,0.522
LUX,0.3903155480035562,-0.5789807036571076,-0.9693,False,Western Europe,0.1419620765529085,0.6474096597792731,0.5054,0.0123692673998823,0.5275384479712492,0.5152
CHE,0.2623867676441928,-0.7067676141123438,-0.9692,False,Western Europe,0.2017105870804144,0.7267933219233826,0.5251,-0.07733088933397,0.5306325416459635,0.608
NOR,0.347993942117368,-0.6163013595059641,-0.9643,True,Northern Europe,0.2293040144902476,0.6744642027448993,0.4452,0.0122096572626375,0.5189702879834148,0.5068
