iso3,sim_change_vs_CHN,sim_change_vs_ISR,sim_change_vs_RUS,sim_change_vs_USA,p1_change,region,broad_region
MDV,0.1468,-0.1027,0.4108,-0.5995,-3.01,Southern Asia,Southern Asia
ZMB,0.316,-0.1286,0.4478,-0.599,13.13,Eastern Africa,Sub-Saharan Africa
LCA,0.102,-0.1435,0.3553,-0.5962,-7.48,Caribbean,Latin America & Caribbean
TZA,0.1307,-0.1628,0.3279,-0.5954,-2.87,Eastern Africa,Sub-Saharan Africa
BLZ,0.125,-0.1114,0.3678,-0.5938,-4.49,Central America,Latin America & Caribbean
KWT,0.181,-0.1093,0.4283,-0.5918,-6.06,Western Asia,Western Asia
BHR,0.1271,-0.0998,0.3567,-0.5891,-8.56,Western Asia,Western Asia
COM,0.266,-0.2459,0.498,-0.5879,14.67,Eastern Africa,Sub-Saharan Africa
KHM,0.1807,-0.119,0.3393,-0.5827,-0.27,South-eastern Asia,South-eastern Asia
BGD,0.1676,-0.0966,0.4097,-0.5818,-5.87,Southern Asia,Southern Asia
SLV,0.2092,-0.1078,0.3754,-0.5775,-3.14,Central America,Latin America & Caribbean
BRA,0.1836,-0.1312,0.3394,-0.5758,9.08,South America,Latin America & Caribbean
PAK,0.1194,-0.0802,0.2821,-0.572,-13.8,Southern Asia,Southern Asia
ZAF,0.1729,-0.1142,0.3798,-0.5714,-3.97,Southern Africa,Sub-Saharan Africa
RWA,0.2073,-0.0989,0.3428,-0.5709,-5.1,Eastern Africa,Sub-Saharan Africa
BRN,0.1274,-0.0774,0.3875,-0.5697,-15.26,South-eastern Asia,South-eastern Asia
IND,0.1623,-0.1077,0.3123,-0.5697,-5.89,Southern Asia,Southern Asia
SLE,0.1424,-0.1326,0.322,-0.5673,-6.58,Western Africa,Sub-Saharan Africa
JOR,0.1474,-0.125,0.3646,-0.5661,-1.28,Western Asia,Western Asia
VNM,0.155,-0.0888,0.3287,-0.5657,-6.65,South-eastern Asia,South-eastern Asia
BRB,0.1141,-0.0397,0.4635,-0.5632,-9.6,Caribbean,Latin America & Caribbean
COD,0.1017,-0.0044,0.3043,-0.5591,,Middle Africa,Sub-Saharan Africa
